,No-show
16468,0
60681,0
37882,0
92235,0
48360,0
71251,0
47125,0
36131,1
2627,0
6344,0
49665,0
23222,0
110039,0
10320,0
68013,0
35020,0
6847,0
94374,0
36206,0
75968,0
89475,1
106139,0
30073,0
81438,0
40944,0
102031,0
76727,0
10227,0
17458,0
22876,1
99232,0
37887,0
28150,0
39896,0
57745,0
61030,1
6067,0
75718,0
82920,0
7386,0
86386,0
51784,0
78316,0
48503,0
58401,0
15576,0
107448,0
69411,1
76286,1
11853,0
71838,0
19710,0
51265,0
89364,1
26410,0
74400,0
15479,0
66396,0
84183,1
22969,0
30802,0
107257,1
76486,0
42561,0
77117,0
103431,0
76516,0
77736,0
76006,1
20786,0
109287,0
2794,0
14003,0
80797,1
66789,0
5700,1
41494,0
50370,0
29328,1
66386,0
83686,0
46391,0
83560,0
26479,0
90486,0
87009,0
100488,0
97160,0
93636,0
39854,0
85079,0
60863,0
24873,0
34085,0
50396,0
63960,0
37894,1
81810,0
52516,0
89705,0
79509,0
62610,1
39252,1
100398,1
23670,0
69670,1
21862,0
40890,0
3120,1
58733,0
59276,0
38618,1
48124,0
42216,0
22902,0
93058,0
18090,0
58071,1
97893,0
45396,1
77917,0
43361,0
57722,0
87775,0
1110,0
54319,0
97963,1
68066,0
39550,1
73029,1
79267,1
37770,0
91993,0
29029,0
38818,0
97676,0
55265,0
13855,0
27198,1
73517,0
63512,0
104797,1
61173,0
98957,0
77922,0
100739,1
10572,0
14764,0
102107,1
58475,1
54600,0
95180,0
89951,0
52242,0
51068,0
4636,0
69478,1
107577,0
96991,1
99278,0
42294,0
23512,0
48677,0
16457,0
90900,0
36282,0
37058,0
41416,0
46798,0
2552,1
71175,0
104871,0
96608,1
13847,1
48746,1
107037,0
5242,0
46005,0
43594,0
65395,0
39096,0
85760,0
75544,0
56629,1
94627,0
15904,0
29493,1
13403,0
75164,0
14276,0
74396,0
11850,1
79523,0
20189,0
99134,0
105419,0
55221,0
23848,1
44217,1
80083,0
20042,0
33597,0
70247,0
52048,0
23966,1
54636,0
51386,0
28730,1
65970,0
51688,0
96516,0
86069,0
75902,0
44450,0
76777,1
20826,1
81041,0
13933,0
67425,0
9085,0
98507,0
103929,0
24224,0
80214,0
101699,0
104717,0
26778,1
32401,1
104311,0
23515,0
76316,1
48417,1
68206,0
99001,0
106098,1
39057,0
50388,0
61452,0
62884,0
74134,0
88247,0
22456,1
69442,0
39473,0
89548,0
96698,1
37175,0
53367,0
92236,0
15577,0
9192,0
109066,0
13659,0
57089,0
32285,0
77861,1
1474,0
91852,0
98964,0
35408,0
34693,0
39692,0
78756,0
53938,0
19971,0
43624,0
64009,0
55956,0
96259,0
92573,0
52563,0
33073,0
24247,0
10047,1
107943,0
63331,0
105543,0
23594,1
99797,0
30322,1
52481,0
81040,0
74089,1
76566,0
98340,1
50482,0
52130,0
47537,1
14283,0
59541,0
64758,0
25831,0
90968,1
82573,1
70294,0
96247,0
23488,0
61834,0
14321,0
17337,0
35681,0
85941,0
75000,0
19032,0
34868,0
79338,0
89825,0
25854,0
75415,0
41322,0
70986,0
86876,1
11300,1
103242,1
12665,0
66101,0
2217,1
14025,0
77940,0
13768,1
60464,0
67820,0
28848,1
98180,1
32445,0
17977,0
106431,1
46512,0
47553,0
16895,0
56309,0
32530,0
5590,0
67212,1
3732,0
86911,0
82241,1
28620,0
98769,0
64197,0
31046,0
49383,0
63138,1
23699,0
93922,1
73701,1
5331,1
69153,0
86012,0
87082,0
15969,0
13335,0
102421,0
23779,1
82729,1
19513,1
16174,1
30178,1
64060,0
28941,0
62460,0
93844,0
60532,0
81638,1
33195,0
104015,1
57206,0
61534,1
107154,1
105375,0
35156,1
20720,0
25153,0
52003,0
31796,0
106734,0
54570,0
43927,1
80428,0
47865,0
28823,1
48076,0
66245,0
4242,0
23255,0
78056,0
104318,0
71885,0
56495,1
42359,0
71011,0
26969,0
2374,0
77015,0
52139,0
16646,0
39346,0
77013,1
88296,0
97237,1
66955,0
51072,0
63353,0
79844,0
101617,0
54713,1
98007,1
56991,0
88464,0
30931,0
76691,0
103904,0
23150,0
51151,0
6814,0
94759,1
11330,0
24414,1
73600,0
73073,0
25406,1
85695,0
64324,0
65704,0
37088,1
63454,0
80591,0
22851,0
19959,0
84711,0
61029,0
48701,1
65272,1
68550,0
92016,0
3707,0
66681,0
73959,0
7404,0
43525,0
48399,1
102544,0
33192,0
109636,0
89159,1
5353,1
74918,0
49085,0
86207,0
58874,0
63116,1
81324,0
89345,0
13517,0
58526,1
34049,0
51636,0
80614,0
108415,0
66075,0
45240,1
72063,0
28564,0
25137,0
96046,1
47173,1
72407,0
57831,0
52344,0
59948,0
840,1
79274,0
105618,0
33657,1
20161,0
104349,0
81567,0
25523,0
92872,0
66917,0
85176,0
65157,0
4606,0
19968,1
60969,0
9345,0
10916,0
9427,0
22212,1
10295,0
95125,0
19802,0
45000,1
30626,0
67796,1
62346,0
50956,0
820,1
31699,0
30084,0
41328,1
78894,0
66677,0
99330,1
43550,0
43923,0
2548,0
6043,0
38803,0
98636,1
103387,0
62522,1
34042,0
22820,0
48154,0
88650,0
9219,1
10847,0
13034,0
99899,0
73527,0
18866,0
66729,0
109202,0
97995,0
54424,0
70807,0
69561,0
51948,0
9164,1
32430,1
40232,0
46156,0
6489,0
77978,0
79742,1
17934,0
12704,0
14854,0
20598,0
38000,0
19228,0
27905,0
32832,1
1132,0
66186,1
81347,0
56784,0
28518,0
76419,0
82092,1
27637,0
42379,0
40915,0
83615,0
52601,0
68841,1
73687,0
92671,0
31382,0
71247,0
67183,0
107941,0
14739,0
73698,0
103780,0
41784,0
50072,1
75724,0
58997,0
103106,0
35744,0
9652,1
63625,0
103871,0
59433,0
36702,0
21059,0
5029,0
94535,0
38881,0
24762,0
71664,0
32984,1
109762,0
52979,0
34604,0
37087,1
84765,0
89388,0
31571,1
17537,0
106474,0
57706,0
82097,1
64059,0
6423,0
103354,0
82194,1
2132,1
15697,1
104978,0
25634,0
65985,1
47057,1
43951,0
14613,0
88787,1
85990,1
89989,0
32169,1
77197,0
107223,0
27960,0
27847,0
91827,0
68834,1
2241,0
15059,0
51881,0
87813,0
11884,0
30152,0
97943,0
102553,1
45029,0
6341,1
47926,1
42175,1
2128,1
23197,0
70175,0
50712,0
15153,0
71385,0
62529,0
56679,0
27567,0
89561,0
89416,0
21624,0
7090,0
10774,0
99348,0
82634,0
103309,0
26645,0
28881,0
75892,0
24788,0
45726,0
8878,0
91871,1
54807,0
47763,0
96076,0
42630,0
42362,0
28061,0
104354,0
75277,0
57367,0
103699,0
15903,0
82411,0
151,0
71699,0
91149,0
77485,0
69437,1
28398,0
89742,0
47631,0
90386,1
36186,0
97330,0
51686,1
7352,0
4052,0
27317,0
51314,0
8691,0
73756,0
79542,0
44748,1
79946,0
40142,1
68105,0
65336,0
52353,0
97203,0
86828,0
46590,1
38344,1
1806,0
53672,0
11104,0
39731,1
98460,0
1733,1
84800,0
56651,0
4336,0
91929,0
47780,1
15312,0
90720,0
85835,0
23620,1
56228,0
6856,1
26737,1
87204,0
78096,0
68762,1
35168,0
43268,1
43403,0
100890,1
85502,1
45599,0
108401,0
30318,1
108622,0
46948,0
19488,1
83215,1
60884,1
22473,0
16344,0
53314,0
75684,1
2931,0
67910,1
82064,1
926,0
76588,0
16832,0
4608,0
12077,0
32967,0
80060,1
34987,1
54946,0
71047,1
27963,0
15734,1
39156,1
94670,0
109891,0
85393,0
40957,0
40470,1
33917,0
9410,1
109911,0
1183,0
4683,0
17342,1
81839,0
10423,0
98244,0
69903,0
57783,1
56511,0
57518,0
40295,1
43152,0
2711,0
105245,1
94675,1
95947,0
61190,1
45944,1
51009,0
108715,0
27404,0
22950,0
52670,0
92909,0
73279,0
70985,0
65475,0
90300,0
20823,0
1872,1
83225,0
20432,0
77956,0
65189,0
15702,0
9393,0
83510,0
57086,0
98167,1
107537,1
45849,1
75596,0
37423,0
98345,0
18679,0
83771,0
23953,0
56732,0
20152,0
22659,0
93827,1
84385,0
37135,0
16901,0
81557,0
92046,0
91935,0
25422,0
55150,0
9888,1
109279,0
8087,0
40175,0
83471,0
3514,0
98562,0
63780,0
100686,0
43025,0
65242,0
34860,0
82261,0
20587,0
77881,0
26324,0
717,0
30383,1
103506,0
79694,0
5448,0
87893,1
82969,0
17028,0
65224,0
21928,1
21358,1
16987,0
74710,0
69085,0
83011,0
105104,0
96303,0
69133,0
79066,0
51733,0
69978,0
19291,1
36413,0
77705,0
13391,0
68711,0
65971,0
71259,0
28562,0
94923,0
59381,0
22184,0
104248,1
55032,1
17396,1
52436,0
16763,1
71051,0
29049,0
26640,1
90002,0
55784,0
165,0
102059,0
82650,0
75994,0
61020,0
88337,0
14834,0
46300,0
20884,1
27853,0
64524,0
105473,1
8267,0
12960,0
99025,0
33286,0
30246,0
99032,0
76443,0
66049,0
60682,1
6387,0
85274,1
71478,0
59620,1
71744,0
62626,0
75583,0
10996,0
100353,0
77451,1
65386,1
96958,0
31520,0
54351,0
64389,0
65579,0
61282,0
59461,0
965,0
98677,0
56155,0
37892,0
66381,0
61271,0
90178,0
91192,0
57909,0
48325,0
109358,0
90693,0
380,0
90199,0
52325,0
28406,1
6113,0
53321,1
78679,0
97949,0
5012,0
85913,0
69174,0
45195,0
12272,0
26033,0
12362,0
97953,1
30033,0
34802,0
36423,0
90345,0
71129,1
18138,1
69201,0
802,0
43978,0
84515,1
29463,0
11123,0
48715,0
85468,0
45221,0
62379,0
101901,0
1312,0
82655,0
95697,0
16563,1
5017,0
48009,0
18518,1
70989,0
8543,0
28484,0
101254,0
60695,0
103162,0
73291,1
10499,1
42814,0
95439,0
98500,0
39107,0
105480,0
24657,0
69800,0
48276,0
34347,0
30436,0
32296,1
48336,0
72956,0
60365,1
38473,1
2376,0
15353,0
56990,1
34694,0
52475,0
103047,0
100252,0
110308,0
16598,1
102334,0
67498,0
57022,0
25129,0
49312,0
59507,0
20857,0
53316,1
108196,0
81238,0
21288,1
87278,1
19024,0
71243,0
89340,1
15750,0
50927,1
79727,0
16631,0
59022,0
80324,0
44459,0
252,0
2835,0
96038,1
94465,0
84390,0
14093,0
65145,0
23316,1
56735,0
30060,0
47150,0
83656,0
88924,0
44132,0
77284,0
71196,1
16822,1
29908,0
91274,0
68667,0
33439,1
104920,0
51140,0
56916,0
77991,1
34151,0
89313,0
5514,0
97850,0
47001,1
62301,0
33956,0
7346,0
106475,0
46831,0
108018,0
5254,0
27437,0
76562,1
67846,1
31625,0
9779,0
71851,0
92781,1
77763,1
5189,0
91561,0
83021,0
101177,0
99320,0
7895,0
83603,1
28165,0
54722,0
69574,0
26895,0
37111,0
30555,0
48374,0
95639,1
32389,0
18048,1
11494,0
50278,0
7259,1
16588,1
45149,0
53678,0
65473,0
53565,0
53673,1
61937,0
75863,0
66760,0
40652,0
40327,1
104627,1
11263,0
72766,0
60055,0
27654,0
38897,0
22094,0
92827,1
14939,0
43207,1
54603,0
56319,0
90700,0
37558,0
47951,0
53133,1
43985,1
60388,1
100367,0
102048,1
53688,1
53303,0
22063,0
96507,0
45505,1
28911,0
30578,0
92100,0
83464,1
90182,1
56246,0
86555,1
2857,0
89409,0
26734,0
84823,0
63598,0
7442,0
6901,0
4353,0
53777,0
41056,0
72635,0
40271,0
15502,0
76657,1
1921,0
65489,0
42318,0
97003,0
25864,0
25969,1
59857,1
7985,0
25533,0
90922,0
57321,0
44904,0
40954,0
83528,0
40000,0
52146,0
16478,0
8334,0
108880,0
67225,0
29484,0
99307,0
5740,0
6872,0
6787,0
15102,0
41681,0
91987,0
81543,0
35346,0
84077,0
76607,0
48580,0
62027,0
72612,0
18773,0
35244,0
62020,0
56690,0
55136,0
72449,0
78741,0
63621,0
95485,0
76944,1
1771,0
12195,0
24020,1
44601,0
41760,1
93217,1
42174,0
105036,1
84491,0
75790,0
101126,0
100975,0
61355,0
24663,0
91974,0
52479,0
41854,0
97508,1
76971,1
50296,0
22802,0
62274,1
3781,0
6205,0
29736,1
80243,0
94113,0
68718,0
82801,0
81232,0
78917,0
7378,0
81644,1
68754,0
95545,1
85011,0
69904,0
64638,0
13348,0
26210,0
40685,0
95134,0
92181,0
79446,1
58795,0
64065,0
95448,0
18650,0
95706,0
73827,0
28303,0
104003,0
108746,0
58929,1
7584,1
94592,0
54877,1
39091,0
12399,1
50375,0
23827,1
32110,0
31880,0
46824,1
63379,0
81986,1
101270,0
26238,0
16263,0
102423,0
38710,0
48531,0
90995,1
94181,0
21773,0
96014,0
49711,0
85281,1
59521,1
32757,0
87121,0
60175,0
89524,1
78902,0
9365,0
57593,1
85720,0
50129,0
44006,0
69633,0
18091,1
45404,0
45847,0
18287,0
75065,0
64085,0
100547,1
56780,0
30442,1
103890,0
42016,0
66905,1
38747,0
48231,1
17979,1
20712,1
70145,0
156,0
93014,0
42242,1
29548,1
24296,1
13311,1
105580,0
88351,0
67366,0
37235,0
35690,0
5281,1
6665,0
46710,0
2084,0
107323,0
31494,0
60361,0
28134,0
8785,0
71015,1
95732,1
61651,0
34670,1
43789,1
62862,0
26086,0
86371,1
93481,0
27460,0
102802,1
3021,0
27272,1
75280,1
67953,0
60500,0
77323,0
59818,0
91612,0
36616,0
90849,1
90505,1
18797,0
84163,1
12194,0
27364,1
33510,1
78436,0
82575,0
64646,0
93526,0
108619,0
73100,0
47591,0
86004,0
96227,0
21894,0
84097,0
100552,0
40223,0
8166,0
85561,1
44318,0
31837,1
26050,0
47091,0
68906,1
60423,0
12011,0
6782,0
642,0
87683,0
64297,1
42801,0
15797,0
11659,0
90488,1
46813,0
66848,0
77379,0
50344,0
36242,0
39218,0
3090,1
62192,0
14614,0
62475,1
58417,0
18162,0
57047,1
102582,0
27202,0
51791,0
80141,0
46440,0
92579,0
109232,0
18643,0
29285,0
69791,0
22609,0
60458,0
65658,0
59987,1
63092,1
55739,0
82711,0
99990,1
57772,0
52310,0
43372,0
21547,0
1793,0
102376,0
43325,1
63885,1
92398,0
74831,0
39833,1
12840,0
81820,0
31363,0
62815,0
71000,0
703,0
83402,0
59734,0
109111,0
90426,1
95232,0
17483,0
48915,0
12874,0
18615,0
45022,0
79463,0
101524,0
95185,1
8500,0
53637,0
45060,0
65421,1
69933,0
13854,0
100088,1
78670,0
94701,0
73821,0
24238,0
100974,0
23085,0
77747,0
