iter	Passed	Remaining
0	103	102970
1	127	63581
2	148	49237
3	171	42707
4	192	38242
5	213	35371
6	235	33411
7	256	31745
8	277	30511
9	299	29638
10	315	28362
11	334	27514
12	356	27039
13	374	26401
14	397	26112
15	416	25604
16	433	25081
17	453	24729
18	473	24440
19	495	24281
20	517	24116
21	533	23720
22	556	23629
23	577	23469
24	595	23242
25	617	23146
26	637	22989
27	657	22830
28	678	22720
29	698	22598
30	719	22476
31	740	22405
32	760	22285
33	781	22194
34	798	22003
35	814	21808
36	836	21760
37	856	21683
38	877	21621
39	898	21570
40	918	21492
41	939	21429
42	961	21400
43	979	21290
44	1004	21318
45	1025	21262
46	1045	21201
47	1067	21162
48	1087	21109
49	1107	21049
50	1129	21017
51	1145	20876
52	1165	20822
53	1182	20716
54	1203	20680
55	1224	20642
56	1241	20531
57	1264	20537
58	1286	20512
59	1306	20464
60	1329	20457
61	1351	20440
62	1372	20409
63	1388	20305
64	1409	20277
65	1429	20228
66	1446	20143
67	1466	20099
68	1488	20080
69	1509	20049
70	1528	20002
71	1545	19923
72	1566	19887
73	1587	19865
74	1609	19849
75	1628	19795
76	1649	19766
77	1669	19735
78	1688	19689
79	1711	19687
80	1733	19663
81	1751	19606
82	1771	19570
83	1791	19540
84	1807	19460
85	1823	19383
86	1841	19329
87	1859	19272
88	1875	19193
89	1897	19190
90	1919	19171
91	1940	19150
92	1958	19097
93	1978	19067
94	1999	19044
95	2016	18989
96	2036	18959
97	2057	18937
98	2078	18915
99	2097	18874
100	2119	18866
101	2139	18840
102	2160	18814
103	2178	18770
104	2194	18702
105	2216	18693
106	2232	18632
107	2253	18614
108	2275	18597
109	2291	18537
110	2311	18514
111	2332	18494
112	2353	18475
113	2375	18458
114	2396	18444
115	2417	18420
116	2438	18400
117	2454	18349
118	2476	18331
119	2499	18326
120	2515	18273
121	2534	18237
122	2550	18183
123	2568	18143
124	2584	18088
125	2605	18072
126	2626	18051
127	2641	17998
128	2662	17975
129	2683	17956
130	2698	17902
131	2716	17863
132	2732	17815
133	2755	17805
134	2775	17781
135	2796	17763
136	2817	17748
137	2836	17719
138	2853	17678
139	2874	17655
140	2893	17628
141	2913	17601
142	2929	17555
143	2953	17555
144	2973	17535
145	2990	17490
146	3009	17465
147	3031	17453
148	3051	17425
149	3067	17382
150	3082	17330
151	3098	17284
152	3117	17256
153	3138	17240
154	3157	17211
155	3177	17188
156	3198	17175
157	3216	17138
158	3239	17132
159	3255	17090
160	3274	17065
161	3296	17053
162	3318	17039
163	3337	17012
164	3354	16973
165	3371	16940
166	3392	16923
167	3414	16911
168	3431	16874
169	3447	16833
170	3467	16809
171	3487	16790
172	3509	16775
173	3528	16751
174	3550	16736
175	3569	16712
176	3588	16686
177	3604	16646
178	3620	16604
179	3641	16588
180	3656	16546
181	3677	16530
182	3694	16492
183	3710	16455
184	3732	16442
185	3754	16431
186	3774	16408
187	3788	16363
188	3810	16350
189	3831	16333
190	3849	16303
191	3865	16269
192	3885	16248
193	3902	16215
194	3922	16194
195	3940	16166
196	3956	16127
197	3973	16093
198	3991	16065
199	4013	16052
200	4029	16018
201	4050	16000
202	4065	15960
203	4086	15946
204	4105	15921
205	4125	15902
206	4145	15882
207	4163	15852
208	4184	15837
209	4206	15825
210	4222	15790
211	4245	15780
212	4260	15741
213	4278	15715
214	4299	15699
215	4319	15679
216	4340	15663
217	4361	15644
218	4377	15609
219	4398	15594
220	4417	15572
221	4435	15542
222	4453	15515
223	4474	15501
224	4490	15467
225	4511	15451
226	4529	15423
227	4548	15402
228	4565	15371
229	4585	15351
230	4605	15330
231	4623	15304
232	4642	15282
233	4660	15256
234	4681	15239
235	4701	15220
236	4718	15191
237	4736	15164
238	4755	15141
239	4773	15116
240	4792	15093
241	4811	15070
242	4828	15041
243	4848	15021
244	4868	15001
245	4884	14970
246	4901	14941
247	4923	14929
248	4943	14908
249	4958	14875
250	4975	14848
251	4997	14833
252	5016	14811
253	5037	14795
254	5058	14778
255	5077	14756
256	5098	14741
257	5118	14720
258	5138	14700
259	5153	14668
260	5167	14631
261	5189	14618
262	5208	14596
263	5229	14580
264	5250	14563
265	5270	14543
266	5290	14524
267	5314	14515
268	5333	14494
269	5355	14478
270	5371	14448
271	5386	14416
272	5407	14399
273	5421	14365
274	5440	14344
275	5459	14322
276	5482	14309
277	5503	14294
278	5523	14272
279	5544	14257
280	5564	14239
281	5582	14214
282	5603	14197
283	5622	14174
284	5642	14156
285	5662	14135
286	5678	14106
287	5699	14091
288	5718	14069
289	5738	14050
290	5758	14031
291	5778	14009
292	5798	13991
293	5819	13974
294	5839	13956
295	5860	13938
296	5882	13923
297	5902	13905
298	5928	13900
299	5949	13882
300	5968	13860
301	5987	13839
302	6006	13816
303	6025	13794
304	6046	13779
305	6065	13756
306	6086	13739
307	6108	13724
308	6127	13702
309	6148	13686
310	6169	13668
311	6188	13646
312	6209	13628
313	6230	13611
314	6249	13591
315	6271	13575
316	6292	13557
317	6314	13541
318	6334	13523
319	6353	13502
320	6371	13477
321	6392	13459
322	6412	13440
323	6433	13422
324	6453	13403
325	6473	13384
326	6497	13371
327	6518	13354
328	6535	13329
329	6552	13303
330	6571	13281
331	6598	13277
332	6619	13259
333	6639	13238
334	6658	13216
335	6678	13198
336	6699	13180
337	6720	13161
338	6739	13141
339	6758	13119
340	6779	13101
341	6800	13084
342	6819	13062
343	6836	13036
344	6855	13016
345	6875	12996
346	6900	12986
347	6915	12956
348	6935	12937
349	6955	12916
350	6975	12898
351	6997	12881
352	7017	12861
353	7037	12843
354	7058	12824
355	7077	12802
356	7098	12785
357	7118	12765
358	7134	12738
359	7154	12719
360	7173	12697
361	7193	12677
362	7214	12660
363	7234	12639
364	7255	12622
365	7276	12605
366	7296	12584
367	7317	12567
368	7337	12546
369	7356	12526
370	7377	12507
371	7397	12487
372	7418	12470
373	7438	12451
374	7457	12429
375	7479	12412
376	7500	12394
377	7519	12372
378	7539	12354
379	7559	12334
380	7579	12314
381	7601	12297
382	7620	12277
383	7640	12256
384	7661	12238
385	7680	12217
386	7702	12201
387	7723	12182
388	7742	12161
389	7764	12144
390	7784	12125
391	7804	12105
392	7827	12089
393	7848	12070
394	7862	12041
395	7882	12023
396	7903	12005
397	7924	11985
398	7943	11965
399	7962	11943
400	7980	11920
401	8000	11900
402	8019	11879
403	8040	11861
404	8060	11842
405	8080	11822
406	8101	11804
407	8120	11782
408	8143	11766
409	8164	11748
410	8183	11727
411	8204	11708
412	8224	11689
413	8245	11671
414	8266	11652
415	8287	11634
416	8308	11615
417	8328	11596
418	8348	11576
419	8367	11555
420	8387	11535
421	8405	11512
422	8424	11491
423	8443	11470
424	8462	11448
425	8482	11429
426	8502	11410
427	8523	11390
428	8544	11372
429	8562	11350
430	8582	11330
431	8604	11313
432	8623	11292
433	8645	11274
434	8664	11253
435	8683	11233
436	8704	11214
437	8724	11194
438	8745	11175
439	8765	11156
440	8787	11138
441	8809	11121
442	8829	11101
443	8843	11074
444	8858	11047
445	8880	11031
446	8899	11009
447	8919	10990
448	8938	10968
449	8959	10949
450	8977	10928
451	8999	10911
452	9020	10891
453	9038	10870
454	9059	10850
455	9078	10830
456	9093	10804
457	9114	10786
458	9133	10765
459	9154	10747
460	9175	10728
461	9195	10707
462	9220	10693
463	9242	10676
464	9263	10657
465	9289	10645
466	9311	10627
467	9330	10606
468	9351	10587
469	9371	10568
470	9390	10546
471	9407	10523
472	9426	10502
473	9447	10483
474	9468	10464
475	9487	10444
476	9507	10424
477	9528	10405
478	9546	10383
479	9567	10364
480	9583	10340
481	9601	10318
482	9621	10298
483	9635	10273
484	9656	10253
485	9675	10233
486	9698	10215
487	9718	10196
488	9737	10175
489	9757	10155
490	9777	10135
491	9798	10117
492	9815	10094
493	9834	10073
494	9854	10053
495	9875	10034
496	9889	10009
497	9911	9991
498	9931	9971
499	9947	9947
500	9965	9926
501	9981	9901
502	9997	9877
503	10016	9857
504	10032	9834
505	10052	9813
506	10072	9794
507	10091	9773
508	10107	9750
509	10127	9730
510	10146	9709
511	10167	9690
512	10186	9670
513	10206	9650
514	10227	9631
515	10246	9610
516	10268	9592
517	10288	9573
518	10303	9549
519	10324	9530
520	10343	9509
521	10365	9491
522	10385	9472
523	10404	9451
524	10424	9431
525	10445	9412
526	10463	9391
527	10484	9372
528	10505	9353
529	10519	9328
530	10539	9308
531	10558	9287
532	10579	9269
533	10594	9245
534	10614	9225
535	10635	9206
536	10655	9187
537	10675	9167
538	10696	9148
539	10714	9127
540	10735	9108
541	10754	9087
542	10775	9069
543	10800	9053
544	10819	9032
545	10839	9013
546	10861	8995
547	10880	8974
548	10902	8956
549	10918	8933
550	10937	8912
551	10957	8893
552	10978	8874
553	10996	8852
554	11014	8831
555	11032	8810
556	11053	8791
557	11070	8769
558	11098	8755
559	11119	8736
560	11134	8713
561	11149	8689
562	11171	8671
563	11191	8651
564	11207	8628
565	11226	8608
566	11247	8589
567	11267	8569
568	11287	8549
569	11305	8528
570	11323	8507
571	11344	8488
572	11362	8467
573	11382	8447
574	11402	8428
575	11423	8409
576	11443	8389
577	11463	8369
578	11482	8349
579	11502	8329
580	11522	8309
581	11541	8289
582	11565	8272
583	11583	8250
584	11598	8228
585	11619	8209
586	11639	8189
587	11655	8166
588	11673	8145
589	11690	8124
590	11711	8105
591	11731	8084
592	11753	8067
593	11773	8047
594	11790	8025
595	11810	8006
596	11824	7982
597	11847	7964
598	11869	7945
599	11889	7926
600	11909	7906
601	11929	7886
602	11949	7867
603	11970	7847
604	11989	7828
605	12009	7808
606	12030	7789
607	12049	7768
608	12070	7749
609	12090	7730
610	12109	7709
611	12129	7689
612	12148	7669
613	12168	7649
614	12183	7627
615	12204	7608
616	12226	7589
617	12249	7571
618	12269	7551
619	12290	7533
620	12311	7513
621	12330	7493
622	12351	7474
623	12372	7455
624	12392	7435
625	12413	7416
626	12432	7396
627	12452	7376
628	12473	7357
629	12493	7337
630	12508	7314
631	12527	7294
632	12547	7274
633	12568	7255
634	12587	7235
635	12608	7216
636	12629	7197
637	12644	7174
638	12665	7155
639	12685	7135
640	12707	7116
641	12724	7095
642	12739	7073
643	12760	7053
644	12779	7033
645	12800	7014
646	12824	6997
647	12839	6974
648	12858	6954
649	12878	6934
650	12897	6914
651	12918	6895
652	12932	6872
653	12952	6852
654	12973	6833
655	12993	6813
656	13014	6794
657	13035	6775
658	13050	6753
659	13070	6733
660	13090	6713
661	13109	6693
662	13124	6671
663	13145	6651
664	13167	6633
665	13187	6613
666	13206	6593
667	13226	6573
668	13245	6553
669	13268	6535
670	13289	6516
671	13308	6495
672	13329	6476
673	13352	6458
674	13371	6438
675	13393	6419
676	13414	6400
677	13433	6379
678	13455	6361
679	13475	6341
680	13496	6321
681	13516	6302
682	13534	6281
683	13555	6262
684	13575	6242
685	13592	6221
686	13613	6202
687	13633	6182
688	13653	6162
689	13673	6143
690	13688	6121
691	13709	6101
692	13728	6081
693	13748	6062
694	13771	6043
695	13790	6023
696	13813	6005
697	13834	5985
698	13853	5965
699	13874	5946
700	13890	5924
701	13910	5904
702	13930	5885
703	13949	5865
704	13970	5845
705	13991	5826
706	14010	5806
707	14031	5786
708	14051	5767
709	14070	5747
710	14092	5728
711	14114	5709
712	14133	5688
713	14154	5669
714	14172	5649
715	14193	5629
716	14213	5610
717	14232	5589
718	14252	5570
719	14272	5550
720	14291	5530
721	14313	5511
722	14332	5491
723	14353	5471
724	14373	5451
725	14392	5431
726	14416	5413
727	14436	5393
728	14453	5373
729	14473	5353
730	14494	5333
731	14513	5313
732	14534	5294
733	14553	5274
734	14572	5254
735	14594	5235
736	14613	5214
737	14634	5195
738	14656	5176
739	14675	5156
740	14697	5137
741	14718	5117
742	14737	5097
743	14753	5076
744	14772	5056
745	14795	5037
746	14815	5017
747	14834	4997
748	14854	4977
749	14869	4956
750	14889	4936
751	14910	4917
752	14925	4895
753	14945	4876
754	14966	4856
755	14985	4836
756	15006	4817
757	15026	4797
758	15045	4777
759	15065	4757
760	15085	4737
761	15100	4716
762	15119	4696
763	15139	4676
764	15160	4657
765	15182	4637
766	15202	4618
767	15222	4598
768	15242	4578
769	15269	4560
770	15291	4541
771	15311	4521
772	15325	4500
773	15345	4480
774	15364	4460
775	15386	4441
776	15407	4421
777	15426	4401
778	15446	4382
779	15466	4362
780	15485	4342
781	15505	4322
782	15524	4302
783	15545	4282
784	15565	4263
785	15589	4244
786	15609	4224
787	15625	4203
788	15644	4183
789	15665	4164
790	15686	4144
791	15705	4124
792	15726	4105
793	15745	4085
794	15765	4065
795	15788	4046
796	15807	4026
797	15827	4006
798	15847	3986
799	15865	3966
800	15887	3947
801	15907	3927
802	15927	3907
803	15946	3887
804	15965	3867
805	15986	3847
806	16006	3827
807	16024	3807
808	16043	3787
809	16063	3767
810	16083	3748
811	16103	3728
812	16121	3708
813	16142	3688
814	16165	3669
815	16186	3650
816	16207	3630
817	16227	3610
818	16246	3590
819	16267	3570
820	16288	3551
821	16307	3531
822	16328	3511
823	16342	3490
824	16364	3471
825	16385	3451
826	16403	3431
827	16420	3410
828	16439	3390
829	16458	3371
830	16480	3351
831	16500	3331
832	16521	3312
833	16537	3291
834	16554	3271
835	16575	3251
836	16595	3231
837	16614	3211
838	16631	3191
839	16650	3171
840	16671	3152
841	16687	3131
842	16708	3111
843	16729	3092
844	16749	3072
845	16771	3052
846	16791	3033
847	16805	3012
848	16827	2992
849	16846	2972
850	16870	2953
851	16890	2934
852	16909	2914
853	16930	2894
854	16946	2874
855	16963	2853
856	16984	2834
857	17002	2814
858	17022	2794
859	17043	2774
860	17063	2754
861	17083	2734
862	17104	2715
863	17123	2695
864	17144	2675
865	17165	2656
866	17187	2636
867	17208	2616
868	17231	2597
869	17249	2577
870	17270	2557
871	17289	2537
872	17303	2517
873	17322	2497
874	17342	2477
875	17358	2457
876	17376	2437
877	17397	2417
878	17416	2397
