Neighbourhood,Adm_Zone
Centro,I – Centro
Do Moscoso,I – Centro
Fonte Grande,I – Centro
Forte São João,I – Centro
Parque Moscoso,I – Centro
Piedade,I – Centro
Santa Clara,I – Centro
Vila Rubim,I – Centro
Ariovaldo Favalessa,II - Santo Antônio
Bela Vista,II - Santo Antônio
Caratoíra,II - Santo Antônio
Do Cabral,II - Santo Antônio
Do Quadro,II - Santo Antônio
Estrelinha,II - Santo Antônio
Grande Vitória,II - Santo Antônio
Ilha do Príncipe,II - Santo Antônio
Inhanguetá,II - Santo Antônio
Mário Cypreste,II - Santo Antônio
Santo Antônio,II - Santo Antônio
Santa Tereza,II - Santo Antônio
Universitário,II - Santo Antônio
Bento Ferreira,III - Bento Ferreira/Jucutuquara
Consolação,III - Bento Ferreira/Jucutuquara
Cruzamento,III - Bento Ferreira/Jucutuquara
De Lourdes,III - Bento Ferreira/Jucutuquara
Fradinhos,III - Bento Ferreira/Jucutuquara
Gurigica,III - Bento Ferreira/Jucutuquara
Horto,III - Bento Ferreira/Jucutuquara
lha de Santa Maria,III - Bento Ferreira/Jucutuquara
Jesus de Nazareth,III - Bento Ferreira/Jucutuquara
Jucutuquara,III - Bento Ferreira/Jucutuquara
Monte Belo,III - Bento Ferreira/Jucutuquara
Nazareth,III - Bento Ferreira/Jucutuquara
Romão,III - Bento Ferreira/Jucutuquara
Andorinhas,IV – Maruípe
Bonfim,IV – Maruípe
Da Penha,IV – Maruípe
Itararé,IV – Maruípe
Joana Darc,IV – Maruípe
Maruípe,IV – Maruípe
Santa Cecília,IV – Maruípe
Santa Martha,IV – Maruípe
Santos Dumont,IV – Maruípe
São Benedito,IV – Maruípe
São Cristovão,IV – Maruípe
Tabuazeiro,IV – Maruípe
Barro Vermelho,V – Praia do Canto
Enseada do Suá,V – Praia do Canto
Ilha do Boi,V – Praia do Canto
Ilha do Frade,V – Praia do Canto
Praia do Canto,V – Praia do Canto
Praia do Suá,V – Praia do Canto
Santa Helena,V – Praia do Canto
Santa Lúcia,V – Praia do Canto
Santa Luíza,V – Praia do Canto
Aeroporto,VI – Continente
Antônio Honório,VI – Continente
Boa Vista,VI – Continente
Carapina,VI – Continente
De Fátima,VI – Continente
Goiabeiras,VI – Continente
Hélio Ferraz,VI – Continente
Jabour,VI – Continente
Jardim Camburi,VI – Continente
Jardim da Penha,VI – Continente
Maria Ortiz,VI – Continente
Mata da Praia,VI – Continente
Morada de Camburi,VI – Continente
Parque Industrial,VI – Continente
Pontal de Camburi,VI – Continente
República,VI – Continente
Segurança do Lar,VI – Continente
Solon Borges,VI – Continente
Comdusa,VII – São Pedro
Conquista,VII – São Pedro
Ilha das Caieiras,VII – São Pedro
Nova Palestina,VII – São Pedro
Redenção,VII – São Pedro
Resistência,VII – São Pedro
Santo André,VII – São Pedro
Santos Reis,VII – São Pedro
São José,VII – São Pedro
São Pedro,VII – São Pedro




